disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Haemophilia A,blood in urine,spontaneous joint bleeds,internal bleeding,joint pain and swelling,,,,
Syphilis,rash on palms and soles,hair loss,headache,fatigue,,,,
Ulcerative Colitis,rectal bleeding,fatigue,rectal pain,joint pain (extra-intestinal),,,,
Generalized Anxiety Disorder,difficulty controlling worry,irritability,muscle tension,fatigue,concentration difficulty,restlessness,"physical symptoms (headache, GI complaints)",
Sleep Apnea,irritability,excessive daytime sleepiness,loud snoring,morning headache,dry mouth on waking,difficulty concentrating,,
Obsessive-Compulsive Disorder,hoarding,distress when rituals interrupted,time-consuming rituals,excessive checking,fear of contamination,symmetry concerns,repetitive behaviours (compulsions),recurrent unwanted thoughts (obsessions)
Fibromyalgia,bowel problems,widespread musculoskeletal pain,tender points,depression,,,,
Tetanus,fever,rapid heartbeat,sweating,spasms triggered by noise or touch,jaw stiffness (trismus/lockjaw),muscle spasms,muscle stiffness,
Sleep Apnea,excessive daytime sleepiness,witnessed apnoea,frequent night awakenings,loud snoring,dry mouth on waking,,,
Kidney Stones,chills,frequent urination,burning urination,blood in urine,fever (if infected),,,
Varicose Veins,itching around veins,muscle cramping in legs,visible twisted and bulging veins,burning or throbbing in legs,skin discolouration,,,
Pulmonary Embolism,anxiety,cough with blood,dizziness,fainting,,,,
Generalized Anxiety Disorder,excessive worry,sleep disturbance,"physical symptoms (headache, GI complaints)",muscle tension,difficulty controlling worry,,,
Heart Failure,shortness of breath,rapid weight gain,swollen ankles and legs,orthopnoea (breathlessness lying flat),reduced exercise tolerance,fatigue,paroxysmal nocturnal dyspnoea,
Glaucoma,tunnel vision (late),gradual peripheral vision loss,blurred vision,halos around lights,eye pain,nausea,,
Dengue Fever,severe headache,joint pain,mild bleeding gums,skin rash,loss of appetite,vomiting,,
Scoliosis,abnormal curvature of spine sideways,uneven shoulders,uneven waist,one hip higher than other,back pain,,,
COVID-19,shortness of breath,fever,loss of taste,body aches,loss of smell,dry cough,fatigue,
Acromegaly,headache,joint pain,body odour,excessive sweating,enlarged tongue,facial feature changes (enlarged jaw/brow),,
Narcolepsy,excessive daytime sleepiness,hypnagogic hallucinations,sleep paralysis,sudden muscle weakness (cataplexy),,,,
Kawasaki Disease,swollen hands and feet,rash on trunk,high fever lasting more than 5 days,red cracked lips,swollen lymph nodes in neck,peeling skin on fingers,strawberry tongue,
Hemochromatosis,hypogonadism,abdominal pain,joint pain,fatigue,diabetes symptoms,heart problems,impotence,
Heat Stroke,confusion or altered consciousness,core body temperature >40°C,rapid heartbeat,headache,hot dry skin (no sweating),rapid breathing,nausea,
Raynaud's Disease,skin colour changes triggered by cold or stress,fingers or toes turning white then blue then red on cold exposure,pain on rewarming,numbness and tingling in fingers,cold fingers and toes,,,
Scoliosis,uneven shoulders,difficulty breathing (severe curves),back pain,rib prominence on one side,,,,
Osteoarthritis,reduced range of motion,bony growths at joint,joint stiffness (especially morning),joint pain worsening with activity,fatigue,tenderness on joint pressure,crackling or grating sound,joint swelling
Premenstrual Syndrome,headache,irritability,mood swings,fatigue,concentration difficulty,food cravings,breast tenderness,depression
Tetanus,sweating,rapid heartbeat,difficulty swallowing,spasms triggered by noise or touch,fever,jaw stiffness (trismus/lockjaw),,
Acne Vulgaris,nodules,papules,oily skin,redness around spots,pustules,scarring,cysts,
Polycystic Kidney Disease,headache,kidney failure (late),blood in urine (haematuria),high blood pressure,abdominal fullness,back or flank pain,,
Polycystic Ovary Syndrome,ovarian cysts on ultrasound,irregular periods,weight gain,difficulty getting pregnant,thinning scalp hair,excess body hair (hirsutism),mood changes,
Heat Stroke,rapid heartbeat,nausea,confusion or altered consciousness,seizures,loss of consciousness,,,
Tetanus,neck stiffness,sweating,muscle spasms,muscle stiffness,fever,jaw stiffness (trismus/lockjaw),spasms triggered by noise or touch,
Heat Stroke,core body temperature >40°C,confusion or altered consciousness,rapid breathing,rapid heartbeat,hot dry skin (no sweating),seizures,headache,
Hepatitis A,low-grade fever,nausea,vomiting,fatigue,abdominal pain,pale stools,jaundice,
Plantar Fasciitis,pain after prolonged standing,pain decreasing after walking but returning after rest,heel pain (especially first steps in morning),tenderness at heel bone base,,,,
Hepatitis A,vomiting,dark urine,loss of appetite,abdominal pain,jaundice,low-grade fever,,
Nephrotic Syndrome,low albumin,foamy urine (proteinuria),reduced urine output,severe oedema (swelling),loss of appetite,fatigue,high cholesterol,
Breast Cancer,skin dimpling,breast pain,nipple inversion,breast lump,thickening of breast tissue,swollen lymph nodes in armpit,,
Schizophrenia,disorganized speech,agitation,negative symptoms (flat affect),social withdrawal,disorganized thinking,cognitive impairment,hallucinations (hearing voices),
Anorexia Nervosa,amenorrhoea,hair thinning,extreme thinness,bone weakness,cold intolerance,intense fear of weight gain,distorted body image,
Hearing Loss,turning up TV volume,trouble hearing high-pitched sounds,tinnitus,dizziness,ringing in ears,difficulty understanding speech,muffled sounds,
Fatty Liver Disease (NAFLD),right upper abdominal discomfort,usually asymptomatic,elevated liver enzymes,elevated cholesterol,abdominal fullness,,,
Cirrhosis,weakness,ascites,easy bruising/bleeding,jaundice,fatigue,loss of appetite,,
Addison's Disease,low blood pressure,abdominal pain,salt craving,dizziness,hyperpigmentation (bronze skin),weight loss,depression,
Gout,redness of joint,tophi under skin (chronic),tenderness,warmth of joint,joint pain at night,,,
Chronic Fatigue Syndrome,profound fatigue lasting >6 months,orthostatic intolerance,pain,unrefreshing sleep,,,,
Rotator Cuff Injury,shoulder pain worsening with arm raising,reduced range of motion,difficulty reaching behind back,pain at night (lying on affected side),clicking or popping in shoulder,,,
Sinusitis,cough,fatigue,thick nasal discharge,toothache,nasal congestion,facial pain or pressure,headache,post-nasal drip
Schizophrenia,delusions,disorganized speech,cognitive impairment,disorganized thinking,social withdrawal,,,
Appendicitis,pain starting around navel migrating to right lower abdomen,rigidity of abdomen,nausea,loss of appetite,fever,rebound tenderness at McBurney's point,constipation or diarrhoea,vomiting
Epilepsy,uncontrolled jerking movements,automatic movements (lip smacking),staring spell,deja vu sensation,recurring seizures,temporary confusion,post-ictal confusion,fear or anxiety aura
Major Depressive Disorder,suicidal thoughts,hopelessness,persistent sadness,fatigue,,,,
Pancreatitis,vomiting,abdominal distension,jaundice (if bile duct affected),abdominal tenderness,pain worsening after eating,nausea,severe upper abdominal pain radiating to back,rapid heart rate
Amyotrophic Lateral Sclerosis,muscle weakness starting in limbs or speech,difficulty breathing,muscle twitching,slurred speech,muscle cramps,difficulty swallowing,,
Common Cold,headache,sore throat,loss of smell,watery eyes,mild fever,nasal congestion,runny nose,
Syphilis,painless genital sore (chancre),headache,fever,swollen lymph nodes,neurological symptoms (late),muscle aches,sore throat,fatigue
