disease,medicine,dosage,precautions,severity
Osteoarthritis,Diclofenac Topical Gel 1%,Apply 2–4 g to affected joint 3–4 times daily,Fewer systemic side effects; avoid on broken skin; wash hands after application,Mild
Cerebral Palsy,Baclofen (Oral/Intrathecal),Oral: 5 mg three times daily titrating to 80 mg/day; Intrathecal: specialist-titrated pump,"Muscle relaxant for spasticity; drowsiness and weakness; do not stop abruptly (seizures, withdrawal); specialist orthopaedic and neuro team",Moderate
Sinusitis,Saline Nasal Rinse,240 mL isotonic saline through each nostril twice daily,Use sterile/distilled water; safe in pregnancy; helps clear mucus; use before nasal steroid spray,Mild
Kawasaki Disease,Intravenous Immunoglobulin (IVIG),2 g/kg IV over 10–12 hours as single dose,Must be given within 10 days of fever onset to prevent coronary aneurysms; echocardiogram monitoring; given with aspirin; specialist paediatric care,Severe
Gingivitis,Metronidazole Gel 25% (Dental),Applied to periodontal pockets by dentist during scaling procedure,For adjunctive use with dental cleaning; professional dental care required; oral hygiene instruction mandatory,Mild
Eczema (Atopic Dermatitis),Hydrocortisone Cream 1%,Apply thinly to affected area 1–2 times daily for up to 7 days,Mild topical steroid; safe for face in short courses; avoid prolonged use; use emollient generously alongside,Mild
Gestational Diabetes,Insulin (Short-acting Aspart),Adjusted per blood glucose readings (typically 4–10 units with meals),If metformin insufficient; self-monitoring of blood glucose essential; hypoglycaemia risk; rotate injection sites; neonatal monitoring after delivery,Moderate
Hyperlipidaemia,Fenofibrate (Triglycerides),145 mg once daily (modified-release),For hypertriglyceridaemia or mixed dyslipidaemia; monitor renal function; risk of myopathy especially with statin combination; avoid in severe renal/hepatic disease,Mild
Kidney Stones,Tamsulosin (Alpha-blocker),0.4 mg once daily at bedtime (facilitates stone passage),May cause orthostatic hypotension; avoid driving initially; effective for stones <10 mm,Moderate
Portal Hypertension,Propranolol (Non-selective Beta-blocker),20–80 mg twice daily; titrate to reduce resting heart rate by 25% or to 55 bpm,"Primary prophylaxis of variceal bleeding; contraindicated in asthma, decompensated heart failure; do not stop abruptly; endoscopic banding combined in high-risk patients",Severe
Chronic Myeloid Leukemia,Imatinib (Gleevec — TKI),400 mg once daily with a large glass of water and meal,"BCR-ABL mutation testing for resistance monitoring; monitor CBC, LFTs monthly; oedema and fluid retention; excellent long-term outcomes in chronic phase",Severe
Hepatitis B,Entecavir,0.5 mg once daily on empty stomach (treatment-naive),1 mg/day for lamivudine-resistant patients; monitor LFTs; long-term therapy required,Severe
Bronchitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 5–7 days (bacterial),Only if bacterial cause confirmed; check allergy; complete full course; most bronchitis is viral and does not need antibiotics,Mild
Post-Traumatic Stress Disorder,Prazosin,1–15 mg at bedtime (for nightmares),Alpha-blocker; risk of orthostatic hypotension — first dose at bedtime; titrate slowly; monitor BP,Mild
Cerebral Palsy,Botulinum Toxin A (Botox) Injection,Specialist-calculated dose injected into spastic muscle groups every 3–6 months,Temporary effect (3–6 months); specialist physiotherapy alongside; pain at injection; very rare respiratory compromise if spread,Moderate
